Movie_ID,averageRating,numVotes
1,5.7,1954
2,5.8,263
3,6.5,1787
4,5.6,179
5,6.2,2589
6,5.1,177
7,5.4,812
8,5.4,2096
9,5.3,204
10,6.9,7068
11,5.3,363
12,7.4,12108
13,5.7,1867
14,7.1,5445
15,6.2,1068
16,5.9,1485
17,4.6,323
18,5.3,591
19,5.1,31
20,4.8,355
21,5.1,1087
22,5.7,1424
23,4.2,110
24,3.8,46
25,5.6,1527
26,5.6,1144
27,5.1,1070
28,5.9,3326
29,5.2,841
30,5.5,998
31,5,415
32,5.5,1027
33,5,203
34,5.6,82
35,4.4,603
36,4.3,68
37,4.2,199
38,3.3,32
39,4,66
40,6.7,1838
41,3.9,39
42,3.2,34
43,3.9,47
44,3.8,35
45,3.9,36
46,3.3,36
47,4.8,198
48,5,51
49,3.9,36
50,3.4,37
51,4.2,102
52,3.3,19
53,4.7,36
54,3.4,32
55,2.8,24
56,4.2,36
57,4,35
58,3.2,29
59,7.4,89
60,3.9,26
61,6.3,198
62,3.2,30
63,2.8,31
64,3.1,31
65,3,31
66,5.5,64
67,3.5,33
68,4.9,450
69,6.4,2627
70,3.1,31
71,3.3,29
72,3.2,32
73,4.3,33
74,6.3,1914
75,4.5,532
76,4.3,37
77,3.7,84
78,4.1,37
79,3.8,33
80,3.9,34
81,4.6,51
82,4.4,34
83,4.1,32
84,4.5,35
85,3.9,35
86,4.5,39
87,4,34
88,6.2,993
89,3.7,33
90,6.7,3620
91,4.2,30
92,4.7,94
93,4.1,33
94,4.6,35
95,4,30
96,4.6,34
97,4.9,37
98,4.3,33
99,4.7,54
100,4.2,29
101,4.3,27
102,5.1,28
103,5.5,466
104,4.6,30
105,4,24
106,4.8,29
107,4.3,541
108,4.5,525
109,4.4,528
110,4.4,543
111,4.5,522
112,4.3,549
113,4.8,31
114,4.6,35
115,4.8,28
116,5.1,164
117,4.8,29
118,5.2,56
119,5.2,52
120,4.1,88
121,4.8,32
122,5.7,142
123,4.9,31
124,4,16
125,5.5,32
126,4.1,27
127,5.5,39
128,6.4,52
129,4.8,29
130,5.7,1398
131,5.1,1057
132,6,36
133,4.4,21
134,6.4,84
135,4.5,30
136,6.4,1128
137,5,25
138,4.9,296
139,5.1,102
140,4.1,29
141,4.9,261
142,5.1,313
143,3.2,13
144,5,26
145,5.2,466
146,2.7,15
147,4.1,22
148,5.3,167
149,4.8,63
150,6.2,253
151,5.7,450
152,3.3,14
153,4.9,29
154,3.4,24
155,3.3,16
156,2.8,15
157,5.2,127
158,5.3,26
159,3,15
160,5.4,472
161,4.3,14
162,5,296
163,4.6,131
164,3.2,19
165,4,143
166,2.8,16
167,3.6,46
168,5.2,257
169,3.4,15
170,6.1,937
171,4.5,44
172,4.6,130
173,5,221
174,4.6,13
175,4.7,241
176,5.2,190
177,4.6,40
178,6.8,59
179,4.9,552
180,5.9,35
181,4.9,324
182,4.5,22
183,4.8,54
184,4.8,145
185,4.5,185
186,5.4,83
187,4.9,27
188,4.2,19
189,4.2,19
190,4.8,31
191,4.8,12
192,5.7,563
193,5,28
194,4.9,31
195,7.4,4321
196,4.6,235
197,4.2,97
198,4.1,126
199,5.9,648
200,6.7,30
201,4.6,235
202,5.4,18
203,5.1,36
204,4.9,275
205,4.4,110
206,6.5,1667
207,2.6,19
208,6.3,68
209,6.3,866
210,5.5,247
211,4.3,90
212,6.4,1206
213,6.4,49
214,6.4,1037
215,5,491
216,6.1,1584
217,5.3,143
218,4.2,25
219,4.8,171
220,5.5,63
221,5.7,442
222,4.3,141
223,4.8,134
224,6.5,12
225,5.6,845
226,5.5,624
227,5.6,251
228,6.9,32
229,6.2,64
230,4.2,24
231,4.5,24
232,5.9,17
233,5.3,232
234,5.7,254
235,4.9,163
236,5.2,195
237,5.1,98
238,5.8,246
239,5.6,261
240,6.9,1304
241,4.4,417
242,5.2,221
243,6.1,1239
244,5.3,240
245,5,92
246,5.3,110
247,6.1,894
248,7.3,34
249,5.8,789
250,5.8,222
251,4.9,226
252,6.3,14
253,6.1,55
254,5,370
255,4.9,316
256,4.9,371
257,4.7,225
258,4.4,116
259,5.5,133
260,5.8,728
261,5.5,56
262,5.2,359
263,6.2,718
264,5.8,454
265,6.2,723
266,7.1,2961
267,7.6,26
268,6.3,158
269,5.6,168
270,6.8,22
271,5.6,528
272,6.4,88
273,6.1,20
274,6.2,124
275,3.9,12
276,6.9,27
277,3.6,26
278,5.8,285
279,5.2,384
280,5.2,129
281,6.1,757
282,5.9,17
283,5.8,44
284,3.6,39
285,5.1,235
286,6.7,1029
287,4.2,25
288,5.5,459
289,5.4,762
290,5.3,171
291,8.2,51513
292,6.2,2696
293,5.5,237
294,4.9,25
295,3.8,21
296,5.9,694
297,5.7,231
298,6.1,520
299,5.2,269
300,7.3,19786
301,5.4,225
302,4.6,89
303,4.8,25
304,6.4,2512
305,6.6,939
306,4.6,111
307,6.8,1859
308,4,63
309,4.4,77
310,4.8,444
311,7.3,1638
312,5.8,1076
313,5.2,502
314,6.3,23
315,5.3,392
316,5.1,204
317,6.9,523
318,6.9,815
319,3.6,68
320,4.8,126
321,6,112
322,5.9,65
323,5.2,84
324,6.6,1229
325,7.5,3693
326,4.6,51
327,4.1,15
328,6.5,29
329,3.4,59
330,5.8,46
331,6.4,45
332,4.5,71
333,4.8,95
334,6.6,1042
335,5.7,381
336,6.3,55
337,5.5,312
338,5.8,761
339,5.4,53
340,4.2,67
341,6.2,17
342,6.7,40
343,6.6,1195
344,4.8,60
345,4.4,93
346,4.8,17
347,6.7,1896
348,3.6,13
349,5.7,60
350,6.5,445
351,6.3,1350
352,4.8,17
353,4.5,137
354,5,55
355,6.3,615
356,6.8,1226
357,3.9,55
358,6.8,69
359,6,814
360,5.7,514
361,6.1,233
362,7.4,28
363,4.7,712
364,5.1,49
365,5,81
366,4.4,20
367,5.6,14
368,5.3,12
369,5.1,19
370,4.9,70
371,5.1,36
372,3.8,14
373,5.8,12
374,4.5,229
375,6,16
376,3.6,19
377,4.5,20
378,4.3,13
379,6.5,1103
380,4.3,24
381,4.7,36
382,8.5,15
383,6.5,589
384,5.7,62
385,5.7,858
386,5.6,86
387,2.8,26
388,5.1,53
389,3.5,26
390,5.5,724
391,4.9,85
392,5.1,95
393,4.4,139
394,4.7,167
395,5.2,67
396,5.1,63
397,5.1,173
398,4.5,161
399,7.6,21
400,4.8,64
401,4.5,212
402,5,110
403,6.5,245
404,4.8,80
405,5.4,63
406,7.2,19
407,4.3,65
408,5.1,62
409,5.3,64
410,5.4,32
411,6.7,53
412,4.8,158
413,5.7,15
414,5.9,45
415,5.2,13
416,4.6,49
417,4.2,20
418,3.6,17
419,5.2,67
420,5.2,48
421,5.3,41
422,6.9,2589
423,5.4,83
424,5.1,122
425,5.5,48
426,6.2,57
427,6.1,43
428,4.8,51
429,5.6,53
430,4,30
431,4.7,26
432,5.5,27
433,5.1,72
434,5.4,54
435,4.6,31
436,4.7,27
437,4.3,37
438,5.4,64
439,5.2,22
440,5.3,19
441,6,18
442,4.7,12
443,5.2,41
444,4.6,13
445,5.5,20
446,5.8,123
447,5.8,65
448,4.5,24
449,5.9,31
450,3,14
451,4.9,32
452,7.8,20
453,6.2,16
454,5,19
455,4.4,22
456,6.2,15
457,7.1,20
458,4.6,21
459,5.4,27
460,5.7,806
461,5.1,129
462,7.3,59
463,5.7,201
464,5.3,126
465,6.1,30
466,7.6,12
467,5.1,29
468,5.6,135
469,6.3,19
470,5.3,155
471,5.3,151
472,5.6,23
473,5.8,20
474,7.5,11
475,5.6,118
476,6,16
477,5,18
478,6.3,19
479,8.3,19
480,4.1,24
481,5.3,63
482,4.9,21
483,5,63
484,6.2,366
485,4.5,70
486,4.1,20
487,5.3,167
488,4.1,14
489,5.2,110
490,4.9,74
491,6,8
492,4.4,62
493,6.1,62
494,4.4,66
495,4.6,125
496,4.1,18
497,5.1,67
498,4.7,119
499,4.2,54
500,4.1,56
501,3.9,55
502,5.1,92
503,5.2,111
504,4.1,59
505,5.2,133
506,6.6,2536
507,6.4,697
508,4.9,151
509,4.8,51
510,5.1,43
511,5.6,335
512,5.2,75
513,5.2,41
514,6.6,20
515,4.5,43
516,5.6,16
517,5.6,24
518,4.9,46
519,5.6,244
520,5.2,41
521,5.9,515
522,5.2,51
523,4.6,38
524,4.6,38
525,4.6,75
526,4.9,60
527,4.4,17
528,5.6,60
529,5.7,9
530,5.2,59
531,5.7,114
532,5.8,11
533,4.7,52
534,4.3,38
535,4.7,102
536,5,173
537,5.8,82
538,5.8,208
539,3.5,12
540,4.7,39
541,4.9,49
542,6.9,33
543,5.5,53
544,5.4,73
545,6.3,40
546,5.6,203
547,3.2,24
548,5.4,61
549,5.2,27
550,3.6,24
551,4.5,25
552,4.5,17
553,5.4,22
554,5.2,115
555,4.8,24
556,6,31
557,4.8,27
558,2.6,26
559,4.2,65
560,6,62
561,3.2,24
562,4.2,24
563,5,26
564,5.5,108
565,6.1,178
566,5.3,95
567,5.3,45
568,4.6,12
569,3.2,10
570,4.8,49
571,3.8,20
572,6.2,105
573,6.5,108
574,4.5,183
575,4.9,20
576,4.5,24
577,6.1,999
578,3.8,11
579,4.6,72
580,4.4,77
581,4,16
582,5,17
583,5.6,16
584,6.2,48
585,4.8,15
586,4.7,285
587,8.1,22
588,4.4,15
589,4.5,17
590,5.6,347
591,4.4,18
592,6.4,25
593,5.8,78
594,6.4,170
595,5.8,88
596,5.2,56
597,5.1,21
598,3.9,20
599,4.9,30
600,5.5,53
601,4.4,16
602,5,111
603,7.8,9
604,4.8,23
605,4.8,45
606,6,78
607,4.4,15
608,6.6,18
609,6.2,16
610,5.2,18
611,5.4,51
612,5.2,134
613,4.8,95
614,4.3,18
615,5.2,29
616,6.5,963
617,4.2,15
618,4.4,17
619,5.9,389
620,5,113
621,4.4,25
622,5.1,141
623,4.2,14
624,7.3,17
625,5.3,17
626,4.1,18
627,5.1,50
628,6,903
629,4.6,20
630,4.9,35
631,2.6,12
632,3.4,18
633,3.7,22
634,5.2,38
635,5.5,110
636,5.6,14
637,3.5,17
638,4.9,83
639,4.8,17
640,5.4,16
641,5.8,33
642,5,25
643,6.3,50
644,6.2,1231
645,5.2,17
646,4.9,40
647,4.2,17
648,4.8,19
649,5.9,44
650,6,15
651,5.7,367
652,5.6,21
653,4.4,17
654,5.2,25
655,5,15
656,5.5,49
657,3.8,17
658,5,142
659,5.2,172
660,4.8,17
661,5.7,17
662,5.1,73
663,8.2,38
664,6.5,16
665,5.3,200
666,5.7,48
667,3.8,17
668,2.4,17
669,5.9,20
670,5,17
671,4.8,37
672,5.4,66
673,4.8,58
674,6.4,953
675,5.9,142
676,6.1,100
677,4.5,16
678,3.8,43
679,5.1,17
680,4.6,20
681,4.6,19
682,5.4,15
683,5.5,200
684,5.6,237
685,4.4,57
686,5.4,20
687,4.8,67
688,4.4,59
689,5.5,38
690,4.5,52
691,4.5,53
692,5.8,10
693,5.2,120
694,4,60
695,5.4,76
696,3.7,56
697,4,56
698,5.6,29
699,4.2,57
700,4.4,41
701,5.2,41
702,4.2,40
703,3.8,21
704,7,19
705,5.4,71
706,4.4,40
707,6.6,13
708,4.4,14
709,4.2,7
710,4.5,45
711,4.6,39
712,6,43
713,5.6,140
714,5.5,38
715,6.6,8
716,4.6,39
717,5.7,105
718,5.2,111
719,6.4,4374
720,5.9,258
721,5,30
722,5.4,43
723,5.4,56
724,5,42
725,4.6,70
726,3.9,21
727,4.5,16
728,5.1,18
729,5.5,73
730,5.6,23
731,4.4,24
732,5.9,553
733,5.8,150
734,4.8,30
735,7,74
736,6.4,535
737,4.4,24
738,4.9,33
739,6.8,34
740,5.8,24
741,4.8,44
742,5.4,59
743,5,60
744,7.2,16
745,3.1,16
746,6,17
747,4.8,11
748,5.5,16
749,5.5,30
750,5.1,14
751,5.8,158
752,6,23
753,5.2,57
754,5.5,58
755,5.6,39
756,5.5,35
757,5.6,53
758,6.2,18
759,5.8,55
760,5.2,17
761,5.1,96
762,4,12
763,6,60
764,5,13
765,4.2,25
766,6.2,12
767,5.3,25
768,5.9,420
769,4.8,27
770,6,217
771,4.6,12
772,3.6,11
773,5.7,40
774,5.3,76
775,4.3,19
776,5.4,32
777,5.6,82
778,3,18
779,6.4,17
780,5.9,29
781,6.2,19
782,4.2,19
783,6.3,64
784,4.2,13
785,5.1,52
786,6.3,794
787,5.4,30
788,5.9,265
789,4.7,21
790,5.8,16
791,3.2,33
792,5.3,17
793,5.5,206
794,5.6,37
795,8.5,17
796,5.9,197
797,5.3,57
798,2.9,18
799,6,33
800,5.7,1566
801,5.7,138
802,7.3,22
803,5.8,37
804,4.9,77
805,6.2,495
806,4.8,23
807,4.2,62
808,7.2,10
809,8,13
810,5.7,359
811,5,8
812,4.8,51
813,5.3,68
814,5.5,44
815,5.8,20
816,5.1,40
817,7.7,2987
818,4.3,22
819,5.5,17
820,4.6,15
821,5.2,15
822,4,35
823,6,756
824,6.1,140
825,5.5,52
826,5.2,98
827,4.8,39
828,4.7,101
829,4.5,25
830,5.8,41
831,4.1,31
832,4.4,29
833,4.4,31
834,4.4,32
835,5.6,15
836,3.7,17
837,4.2,26
838,5.4,208
839,5.6,6
840,5.5,18
841,6.3,378
842,6.4,338
843,5.6,42
844,5.5,71
845,5.3,156
846,6.4,34
847,4.9,38
848,6.3,16
849,5,46
850,6.1,34
851,6.4,47
852,5.1,40
853,4.2,8
854,5.3,37
855,4,18
856,5.9,15
857,6.6,18
858,5.7,215
859,4.2,36
860,4.8,34
861,5.1,628
862,4.8,292
863,5.4,14
864,6.9,24
865,4.8,60
866,4.2,12
867,4.6,76
868,5.6,38
869,4.6,8
870,3.1,9
871,3.4,24
872,4.2,12
873,5.8,273
874,6.7,16
875,7.1,15
876,5.2,23
877,7.1,1737
878,6.8,61
879,6.5,1239
880,4.4,23
881,5.7,15
882,5,24
883,5.3,19
884,5,6
885,4.8,72
886,5.4,78
887,5.5,154
888,5.6,22
889,6.5,224
890,5.1,19
891,7,16
892,8,14
893,6.3,282
894,6.2,51
895,5.2,11
896,4.9,14
897,3,11
898,5.5,14
899,6.7,26
900,5.2,89
901,5.8,58
902,5,39
903,5.1,11
904,4.4,41
905,4.1,12
906,4.6,50
907,5.7,213
908,5.2,45
909,5.9,76
910,5.1,9
911,4.7,55
912,7.4,57
913,7.8,12
914,5.3,73
915,4.5,11
916,4,15
917,5.8,244
918,5.2,74
919,5.3,73
920,3.6,24
921,5.5,229
922,5.7,122
923,7.2,36
924,5.4,12
925,4.9,48
926,5,12
927,4.5,52
928,5.1,87
929,5.6,27
930,6.1,16
931,4.9,55
932,5.6,159
933,6,87
934,5.9,11
935,5.4,14
936,6.1,280
937,5.9,38
938,6.2,24
939,5,15
940,4.1,22
941,4.4,36
942,6,13
943,4.5,135
944,6,12
945,4.5,14
946,6,63
947,4.1,21
948,5.3,42
949,5.3,53
950,3.5,61
951,4.3,90
952,3.5,8
953,5.9,211
954,6.6,196
955,4.8,81
956,6.2,64
957,3.8,98
958,4.9,53
959,5.1,45
960,4.1,17
961,5,67
962,6.1,409
963,6.1,285
964,4.6,39
965,4.9,38
966,3.9,16
967,3.9,38
968,5.9,149
969,5.1,546
970,4.7,24
971,6.8,1062
972,4.6,17
973,4.8,47
974,6.2,315
975,5.1,380
976,6.1,79
977,7,3069
978,5.5,19
979,5.7,204
980,5.6,92
981,5.7,19
982,6,707
983,5.2,18
984,8.9,13
985,5,31
986,6,76
987,4.3,38
988,6.3,129
989,4.6,76
990,4.8,19
991,4.8,36
992,5.9,310
993,5.9,72
994,3.4,37
995,6.1,207
996,6.4,129
997,6.2,403
998,4.5,19
999,5.5,295
1000,6.2,27
1001,5.8,608
1002,6.1,95
1003,4.8,16
1004,4.7,59
1005,5.5,21
1006,6.8,1234
1007,5.2,43
1008,6,43
1009,5.3,47
1010,4,45
1011,6.7,452
1012,5.2,149
1013,5.7,63
1014,6.4,96
1015,5.3,63
